Row ID,Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Customer Name,Segment,Country_Region,City,State_Province,Postal Code,Region,Product ID,Category,Sub-Category,Product Name,Sales,Quantity,Discount,Profit,Month,Year,Month_Year,Profit Margin,Profit Flag,Sale Bend
492,US-2023-103373,5/18/2023,5/24/2023,Standard Class,BS-11755,Bruce Stewart,Consumer,United States,Cleveland,Ohio,44105,East,TEC-PH-10002885,Technology,Phones,Apple iPhone 5,779.8,2,0.4,-168.96,May,2023,23-May,-21.70%,Loss,High
502,CA-2023-166695,5/20/2023,5/24/2023,Standard Class,CC-12430,Chuck Clark,Home Office,Canada,Vancouver,British Columbia,V6Z,West,FUR-CH-10000225,Furniture,Chairs,"Global Geo Office Task Chair, Gray",518.27,8,0.2,-97.18,May,2023,23-May,-18.80%,Loss,High
510,US-2023-117639,5/21/2023,5/25/2023,Standard Class,MW-18235,Mitch Willingham,Corporate,United States,Virginia Beach,Virginia,23464,South,OFF-BI-10003925,Office Supplies,Binders,Fellowes PB300 Plastic Comb Binding Machine,2715.93,7,0,1276.49,May,2023,23-May,47.00%,Profitable,High
514,US-2023-117639,5/21/2023,5/25/2023,Standard Class,MW-18235,Mitch Willingham,Corporate,United States,Virginia Beach,Virginia,23464,South,TEC-PH-10001530,Technology,Phones,Plantronics Voyager Pro Legend,617.97,3,0,173.03,May,2023,23-May,28.00%,Profitable,High
539,US-2023-124429,5/27/2023,5/27/2023,Same Day,MH-17785,Maya Herman,Corporate,United States,San Diego,California,92105,West,FUR-TA-10002607,Furniture,Tables,KI Conference Tables,567.12,10,0.2,-28.36,May,2023,23-May,-5.00%,Loss,High
543,US-2023-139192,5/27/2023,6/1/2023,Second Class,LC-16885,Lena Creighton,Consumer,United States,San Francisco,California,94109,West,TEC-PH-10000486,Technology,Phones,Plantronics HL10 Handset Lifter,1113.5,12,0.2,125.27,May,2023,23-May,11.30%,Profitable,High
553,US-2023-140473,5/30/2023,6/3/2023,Standard Class,MC-17425,Mark Cousins,Corporate,United States,Chicago,Illinois,60623,Central,TEC-CO-10004202,Technology,Copiers,Brother DCP1000 Digital 3 in 1 Multifunction Machine,719.98,3,0.2,135,May,2023,23-May,18.80%,Profitable,High
556,US-2023-166051,5/31/2023,6/5/2023,Standard Class,JK-15625,Jim Karlsson,Consumer,United States,Jackson,Mississippi,39212,South,TEC-PH-10002680,Technology,Phones,Samsung Galaxy Note 3,659.97,3,0,197.99,May,2023,23-May,30.00%,Profitable,High
557,US-2023-131926,6/1/2023,6/6/2023,Second Class,DW-13480,Dianna Wilson,Home Office,United States,Lakeville,Minnesota,55044,Central,FUR-CH-10004063,Furniture,Chairs,Global Deluxe High-Back Manager's Chair,2001.86,7,0,580.54,Jun,2023,23-Jun,29.00%,Profitable,High
559,US-2023-131926,6/1/2023,6/6/2023,Second Class,DW-13480,Dianna Wilson,Home Office,United States,Lakeville,Minnesota,55044,Central,OFF-AP-10002945,Office Supplies,Appliances,Honeywell Enviracaire Portable HEPA Air Cleaner for 17' x 22' Room,1503.25,5,0,496.07,Jun,2023,23-Jun,33.00%,Profitable,High
567,US-2023-165659,6/1/2023,6/6/2023,Standard Class,LT-17110,Liz Thompson,Consumer,United States,Little Rock,Arkansas,72209,South,TEC-PH-10002563,Technology,Phones,Adtran 1202752G1,881.93,7,0,229.3,Jun,2023,23-Jun,26.00%,Profitable,High
574,US-2023-135657,6/3/2023,6/7/2023,Second Class,SC-20725,Steven Cartwright,Consumer,United States,Seattle,Washington,98115,West,FUR-TA-10004086,Furniture,Tables,KI Adjustable-Height Table,515.88,6,0,113.49,Jun,2023,23-Jun,22.00%,Profitable,High
583,US-2023-159520,6/6/2023,6/11/2023,Standard Class,GT-14635,Grant Thornton,Corporate,United States,Long Beach,New York,11561,East,FUR-TA-10003238,Furniture,Tables,"Chromcraft Bull-Nose Wood 48"" x 96"" Rectangular Conference Tables",991.76,3,0.4,-347.12,Jun,2023,23-Jun,-35.00%,Loss,High
595,US-2023-141257,6/8/2023,6/14/2023,Standard Class,CS-11950,Carlos Soltero,Consumer,United States,Seattle,Washington,98115,West,FUR-CH-10002758,Furniture,Chairs,"Hon Deluxe Fabric Upholstered Stacking Chairs, Squared Back",585.55,3,0.2,73.19,Jun,2023,23-Jun,12.50%,Profitable,High
597,US-2023-108147,6/8/2023,6/13/2023,Standard Class,RD-19480,Rick Duston,Consumer,United States,Long Beach,New York,11561,East,OFF-ST-10003470,Office Supplies,Storage,"Tennsco Snap-Together Open Shelving Units, Starter Sets and Add-On Units",1676.88,6,0,83.84,Jun,2023,23-Jun,5.00%,Profitable,High
600,US-2023-115812,6/9/2023,6/14/2023,Standard Class,BH-11710,Brosina Hoffman,Consumer,United States,Los Angeles,California,90032,West,FUR-TA-10001539,Furniture,Tables,Chromcraft Rectangular Conference Tables,1706.18,9,0.2,85.31,Jun,2023,23-Jun,5.00%,Profitable,High
601,US-2023-132612,6/9/2023,6/11/2023,Second Class,FO-14305,Frank Olsen,Consumer,United States,Harrisonburg,Virginia,22801,South,FUR-TA-10004534,Furniture,Tables,Bevis 44 x 96 Conference Tables,1441.3,7,0,245.02,Jun,2023,23-Jun,17.00%,Profitable,High
612,US-2023-115812,6/9/2023,6/14/2023,Standard Class,BH-11710,Brosina Hoffman,Consumer,United States,Los Angeles,California,90032,West,TEC-PH-10002033,Technology,Phones,Konftel 250 Conference phone - Charcoal black,911.42,4,0.2,68.36,Jun,2023,23-Jun,7.50%,Profitable,High
613,US-2023-115812,6/9/2023,6/14/2023,Standard Class,BH-11710,Brosina Hoffman,Consumer,United States,Los Angeles,California,90032,West,TEC-PH-10002275,Technology,Phones,Mitel 5320 IP Phone VoIP phone,907.15,6,0.2,90.72,Jun,2023,23-Jun,10.00%,Profitable,High
617,US-2023-141215,6/15/2023,6/21/2023,Standard Class,KL-16555,Kelly Lampkin,Corporate,United States,San Antonio,Texas,78207,Central,FUR-CH-10003379,Furniture,Chairs,Global Commerce Series High-Back Swivel/Tilt Chairs,797.94,4,0.3,-57,Jun,2023,23-Jun,-7.10%,Loss,High
621,US-2023-136644,6/16/2023,6/22/2023,Standard Class,SC-20575,Sonia Cooley,Consumer,United States,Mishawaka,Indiana,46544,Central,FUR-CH-10000225,Furniture,Chairs,"Global Geo Office Task Chair, Gray",647.84,8,0,32.39,Jun,2023,23-Jun,5.00%,Profitable,High
626,US-2023-144414,6/17/2023,6/21/2023,Standard Class,GH-14425,Gary Hwang,Consumer,United States,Seattle,Washington,98105,West,OFF-BI-10004995,Office Supplies,Binders,GBC DocuBind P400 Electric Binding System,3266.38,3,0.2,1061.57,Jun,2023,23-Jun,32.50%,Profitable,High
638,US-2023-166863,6/20/2023,6/24/2023,Standard Class,SC-20020,Sam Craven,Consumer,United States,Plano,Texas,75023,Central,OFF-ST-10004123,Office Supplies,Storage,Safco Industrial Wire Shelving System,509.49,7,0.2,-127.37,Jun,2023,23-Jun,-25.00%,Loss,High
655,US-2023-141796,6/21/2023,6/21/2023,Same Day,JG-15160,James Galang,Consumer,United States,Long Beach,New York,11561,East,TEC-PH-10001578,Technology,Phones,Polycom SoundStation2 EX Conference phone,1214.85,3,0,352.31,Jun,2023,23-Jun,29.00%,Profitable,High
657,US-2023-130624,6/21/2023,6/24/2023,First Class,TB-21280,Toby Braunhardt,Consumer,United States,New York City,New York,10024,East,TEC-PH-10003963,Technology,Phones,GE 2-Jack Phone Line Splitter,617.97,3,0,160.67,Jun,2023,23-Jun,26.00%,Profitable,High
658,US-2023-128146,6/21/2023,6/25/2023,Standard Class,DB-13060,Dave Brooks,Consumer,United States,Lakewood,New Jersey,8701,East,TEC-PH-10004539,Technology,Phones,Wireless Extenders zBoost YX545 SOHO Signal Booster,1322.93,7,0,357.19,Jun,2023,23-Jun,27.00%,Profitable,High
659,US-2023-154963,6/22/2023,6/27/2023,Standard Class,AA-10645,Anna Andreadi,Consumer,United States,Chester,Pennsylvania,19013,East,FUR-CH-10000454,Furniture,Chairs,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",853.93,5,0.3,0,Jun,2023,23-Jun,0.00%,Loss,High
662,US-2023-124646,6/22/2023,6/24/2023,First Class,DV-13465,Dianna Vittorini,Consumer,United States,Minneapolis,Minnesota,55407,Central,OFF-ST-10001097,Office Supplies,Storage,Office Impressions Heavy Duty Welded Shelving & Multimedia Storage Drawers,501.81,3,0,0,Jun,2023,23-Jun,0.00%,Loss,High
677,US-2023-140858,6/28/2023,7/2/2023,Standard Class,CA-12775,Cynthia Arntzen,Consumer,United States,Philadelphia,Pennsylvania,19140,East,FUR-CH-10001394,Furniture,Chairs,Global Leather Executive Chair,1228.47,5,0.3,0,Jun,2023,23-Jun,0.00%,Loss,High
695,US-2023-160773,7/1/2023,7/5/2023,Standard Class,LW-16825,Laurel Workman,Corporate,United States,Deltona,Florida,32725,South,TEC-PH-10004586,Technology,Phones,Wilson SignalBoost 841262 DB PRO Amplifier Kit,575.92,2,0.2,71.99,Jul,2023,23-Jul,12.50%,Profitable,High
713,US-2023-134278,7/6/2023,7/8/2023,First Class,EP-13915,Emily Phan,Consumer,United States,New York City,New York,10011,East,TEC-CO-10001046,Technology,Copiers,Canon Imageclass D680 Copier / Fax,559.99,1,0.2,175,Jul,2023,23-Jul,31.30%,Profitable,High
717,US-2023-100090,7/8/2023,7/12/2023,Standard Class,EB-13705,Ed Braxton,Corporate,United States,San Francisco,California,94122,West,FUR-TA-10003715,Furniture,Tables,Hon 2111 Invitation Series Corner Table,502.49,3,0.2,-87.94,Jul,2023,23-Jul,-17.50%,Loss,High
728,US-2023-163552,7/11/2023,7/15/2023,Standard Class,LA-16780,Laura Armstrong,Corporate,United States,Hackensack,New Jersey,7601,East,FUR-CH-10003379,Furniture,Chairs,Global Commerce Series High-Back Swivel/Tilt Chairs,854.94,3,0,213.74,Jul,2023,23-Jul,25.00%,Profitable,High
735,US-2023-123225,7/11/2023,7/14/2023,First Class,MN-17935,Michael Nguyen,Consumer,United States,El Paso,Texas,79907,Central,TEC-PH-10000895,Technology,Phones,Polycom VVX 310 VoIP phone,575.97,4,0.2,43.2,Jul,2023,23-Jul,7.50%,Profitable,High
739,US-2023-161508,7/12/2023,7/16/2023,Standard Class,PV-18985,Paul Van Hugh,Home Office,United States,League City,Texas,77573,Central,FUR-CH-10002126,Furniture,Chairs,Hon Deluxe Fabric Upholstered Stacking Chairs,512.36,3,0.3,-14.64,Jul,2023,23-Jul,-2.90%,Loss,High
740,US-2023-129924,7/12/2023,7/17/2023,Standard Class,AC-10420,Alyssa Crouse,Corporate,United States,San Francisco,California,94122,West,FUR-TA-10004575,Furniture,Tables,Hon 5100 Series Wood Tables,698.35,3,0.2,-17.46,Jul,2023,23-Jul,-2.50%,Loss,High
769,US-2023-143903,7/20/2023,7/24/2023,Standard Class,KM-16375,Katherine Murray,Home Office,United States,Dallas,Texas,75217,Central,FUR-CH-10002024,Furniture,Chairs,HON 5400 Series Task Chairs for Big and Tall,981.37,2,0.3,-140.2,Jul,2023,23-Jul,-14.30%,Loss,High
780,US-2023-127866,7/20/2023,7/23/2023,First Class,JD-15895,Jonathan Doherty,Corporate,United States,Riverside,California,92503,West,OFF-ST-10001490,Office Supplies,Storage,"Hot File 7-Pocket, Floor Stand",535.41,3,0,160.62,Jul,2023,23-Jul,30.00%,Profitable,High
784,US-2023-116932,7/21/2023,7/25/2023,Standard Class,ME-18010,Michelle Ellison,Corporate,United States,San Francisco,California,94122,West,FUR-CH-10001215,Furniture,Chairs,Global Troy Executive Leather Low-Back Tilter,801.57,2,0.2,50.1,Jul,2023,23-Jul,6.30%,Profitable,High
785,US-2023-129189,7/21/2023,7/25/2023,Standard Class,HM-14860,Harry Marie,Corporate,United States,Dallas,Texas,75217,Central,FUR-CH-10004997,Furniture,Chairs,Hon Every-Day Series Multi-Task Chairs,657.93,5,0.3,-93.99,Jul,2023,23-Jul,-14.30%,Loss,High
792,US-2023-117464,7/22/2023,7/24/2023,Second Class,NP-18325,Naresj Patel,Consumer,United States,San Francisco,California,94122,West,FUR-CH-10000155,Furniture,Chairs,Global Comet Stacking Armless Chair,717.72,3,0.2,71.77,Jul,2023,23-Jul,10.00%,Profitable,High
