Order ID,Order Date,Ship Date,Customer Name,Segment,Category,Sub-Category,Product Name,Sales,Quantity,Profit,Month-Year,Profit Margin,Profit Flag,Sale Band,Region
US-2023-157147,1/13/2023,1/18/2023,Brian Dahlen,Consumer,Furniture,Bookcases,"O'Sullivan Elevations Bookcase, Cherry Finish",334,3,3.93,23-Jan,1.20%,Profitable,Medium,West
US-2023-109232,1/13/2023,1/16/2023,Natalie DeCherney,Consumer,Furniture,Chairs,Global Highback Leather Tilter in Burgundy,545.94,6,87.35,23-Jan,16.00%,Profitable,High,South
US-2023-157147,1/13/2023,1/18/2023,Brian Dahlen,Consumer,Office Supplies,Art,4009 Highlighters by Sanford,19.9,5,6.57,23-Jan,33.00%,Profitable,Low,West
US-2023-118192,1/13/2023,1/18/2023,Michael Moore,Consumer,Office Supplies,Binders,Avery Metallic Poly Binders,3.44,2,-2.52,23-Jan,-73.30%,Loss,Low,East
US-2023-162775,1/13/2023,1/15/2023,Chris Selesnick,Corporate,Office Supplies,Binders,3-ring staple pack,5.64,3,2.71,23-Jan,48.00%,Profitable,Low,South
US-2023-162775,1/13/2023,1/15/2023,Chris Selesnick,Corporate,Office Supplies,Envelopes,Brown Kraft Recycled Envelopes,50.94,3,25.47,23-Jan,50.00%,Profitable,Low,South
US-2023-162775,1/13/2023,1/15/2023,Chris Selesnick,Corporate,Office Supplies,Envelopes,Staple envelope,11.36,2,5.34,23-Jan,47.00%,Profitable,Low,South
US-2023-118192,1/13/2023,1/18/2023,Michael Moore,Consumer,Office Supplies,Paper,Xerox 1923,37.41,7,13.09,23-Jan,35.00%,Profitable,Low,East
US-2023-162775,1/13/2023,1/15/2023,Chris Selesnick,Corporate,Office Supplies,Storage,Fellowes Stor/Drawer Steel Plus Storage Drawers,572.58,6,34.35,23-Jan,6.00%,Profitable,High,South
US-2023-157147,1/13/2023,1/18/2023,Brian Dahlen,Consumer,Office Supplies,Storage,Tennsco 6- and 18-Compartment Lockers,1325.85,5,238.65,23-Jan,18.00%,Profitable,High,West
US-2023-162775,1/13/2023,1/15/2023,Chris Selesnick,Corporate,Technology,Accessories,Plantronics S12 Corded Telephone Headset System,646.74,6,258.7,23-Jan,40.00%,Profitable,High,South
US-2023-149524,1/14/2023,1/15/2023,Brendan Sweed,Corporate,Furniture,Bookcases,Sauder Cornerstone Collection Library,61.96,4,-53.29,23-Jan,-86.00%,Loss,Low,East
US-2023-103366,1/15/2023,1/17/2023,Erica Hackney,Consumer,Technology,Accessories,Logitech 910-002974 M325 Wireless Mouse for Web Scrolling,149.95,5,65.98,23-Jan,44.00%,Profitable,Medium,South
US-2023-115791,1/16/2023,1/18/2023,Delfina Latchford,Consumer,Furniture,Furnishings,DAX Black Cherry Wood-Tone Poster Frame,127.1,6,28.6,23-Jan,22.50%,Profitable,Medium,East
US-2023-115791,1/16/2023,1/18/2023,Delfina Latchford,Consumer,Office Supplies,Binders,GBC Linen Binding Covers,18.59,2,-13.63,23-Jan,-73.30%,Loss,Low,East
US-2023-115791,1/16/2023,1/18/2023,Delfina Latchford,Consumer,Office Supplies,Labels,Round Specialty Laser Printer Labels,30.07,3,10.15,23-Jan,33.80%,Profitable,Low,East
US-2023-115791,1/16/2023,1/18/2023,Delfina Latchford,Consumer,Technology,Phones,AT&T 841000 Phone,124.2,3,-31.05,23-Jan,-25.00%,Loss,Medium,East
US-2023-123477,1/18/2023,1/21/2023,David Wiener,Corporate,Office Supplies,Appliances,Fellowes Mighty 8 Compact Surge Protector,64.86,4,6.49,23-Jan,10.00%,Profitable,Low,West
US-2023-146591,1/19/2023,1/20/2023,Toby Swindell,Consumer,Furniture,Bookcases,O'Sullivan 4-Shelf Bookcase in Odessa Pine,181.47,5,-320.6,23-Jan,-176.70%,Loss,Medium,West
US-2023-146591,1/19/2023,1/20/2023,Toby Swindell,Consumer,Office Supplies,Binders,"GBC Standard Recycled Report Covers, Clear Plastic Sheets",32.34,10,-23.72,23-Jan,-73.30%,Loss,Low,West
US-2023-146591,1/19/2023,1/20/2023,Toby Swindell,Consumer,Office Supplies,Envelopes,"Tyvek  Top-Opening Peel & Seel Envelopes, Plain White",108.72,5,36.69,23-Jan,33.80%,Profitable,Medium,West
US-2023-146591,1/19/2023,1/20/2023,Toby Swindell,Consumer,Office Supplies,Paper,"TOPS Carbonless Receipt Book, Four 2-3/4 x 7-1/4 Money Receipts per Page",56.06,4,19.62,23-Jan,35.00%,Profitable,Low,West
US-2023-147627,1/20/2023,1/26/2023,Hunter Lopez,Consumer,Furniture,Chairs,Hon 4700 Series Mobuis Mid-Back Task Chairs with Adjustable Arms,1067.94,3,224.27,23-Jan,21.00%,Profitable,High,South
US-2023-167927,1/20/2023,1/26/2023,Xylona Preis,Consumer,Furniture,Furnishings,Ultra Door Push Plate,14.73,3,4.86,23-Jan,33.00%,Profitable,Low,Central
US-2023-167927,1/20/2023,1/26/2023,Xylona Preis,Consumer,Furniture,Furnishings,Eldon ClusterMat Chair Mat with Cordless Antistatic Protection,272.94,3,30.02,23-Jan,11.00%,Profitable,Medium,Central
US-2023-147627,1/20/2023,1/26/2023,Hunter Lopez,Consumer,Furniture,Furnishings,"Eldon Expressions Desk Accessory, Wood Pencil Holder, Oak",38.6,4,11.58,23-Jan,30.00%,Profitable,Low,South
US-2023-148614,1/20/2023,1/25/2023,Mark Van Huff,Consumer,Furniture,Furnishings,"Eldon Expressions Desk Accessory, Wood Pencil Holder, Oak",19.3,2,5.79,23-Jan,30.00%,Profitable,Low,West
US-2023-167927,1/20/2023,1/26/2023,Xylona Preis,Consumer,Office Supplies,Appliances,"Holmes Replacement Filter for HEPA Air Cleaner, Very Large Room, HEPA Filter",247.72,4,93.58,23-Jan,37.80%,Profitable,Medium,Central
US-2023-147627,1/20/2023,1/26/2023,Hunter Lopez,Consumer,Office Supplies,Art,Newell 351,22.96,7,6.66,23-Jan,29.00%,Profitable,Low,South
US-2023-147627,1/20/2023,1/26/2023,Hunter Lopez,Consumer,Office Supplies,Art,Newell 327,6.63,3,1.79,23-Jan,27.00%,Profitable,Low,South
US-2023-167927,1/20/2023,1/26/2023,Xylona Preis,Consumer,Office Supplies,Art,Panasonic KP-4ABK Battery-Operated Pencil Sharpener,43.92,3,12.74,23-Jan,29.00%,Profitable,Low,Central
US-2023-167927,1/20/2023,1/26/2023,Xylona Preis,Consumer,Office Supplies,Binders,"Acco Pressboard Covers with Storage Hooks, 9 1/2"" x 11"", Executive Red",19.05,5,8.95,23-Jan,47.00%,Profitable,Low,Central
US-2023-147774,1/20/2023,1/26/2023,Muhammed MacIntyre,Corporate,Office Supplies,Binders,GBC DocuBind TL200 Manual Binding Machine,67.19,1,-51.52,23-Jan,-76.70%,Loss,Low,South
US-2023-167927,1/20/2023,1/26/2023,Xylona Preis,Consumer,Office Supplies,Binders,Storex Dura Pro Binders,29.7,5,13.37,23-Jan,45.00%,Profitable,Low,Central
US-2023-147627,1/20/2023,1/26/2023,Hunter Lopez,Consumer,Office Supplies,Envelopes,Staple envelope,23.34,3,10.97,23-Jan,47.00%,Profitable,Low,South
US-2023-148614,1/20/2023,1/25/2023,Mark Van Huff,Consumer,Office Supplies,Paper,"Wirebound Service Call Books, 5 1/2"" x 4""",19.36,2,9.29,23-Jan,48.00%,Profitable,Low,West
US-2023-167927,1/20/2023,1/26/2023,Xylona Preis,Consumer,Office Supplies,Storage,Eldon Fold 'N Roll Cart System,13.98,1,4.05,23-Jan,29.00%,Profitable,Low,Central
US-2023-167927,1/20/2023,1/26/2023,Xylona Preis,Consumer,Office Supplies,Storage,Fellowes Bases and Tops For Staxonsteel/High-Stak Systems,66.58,2,15.98,23-Jan,24.00%,Profitable,Low,Central
US-2023-147627,1/20/2023,1/26/2023,Hunter Lopez,Consumer,Technology,Phones,Apple iPhone 5C,699.93,7,181.98,23-Jan,26.00%,Profitable,High,South
US-2023-110422,1/21/2023,1/23/2023,Tom Boeckenhauer,Consumer,Furniture,Furnishings,Ultra Door Pull Handle,25.25,3,4.1,23-Jan,16.30%,Profitable,Low,South
CA-2023-115238,1/21/2023,1/24/2023,Jane Waco,Corporate,Furniture,Furnishings,"Eldon Imàge Series Desk Accessories, Clear",24.3,5,10.45,23-Jan,43.00%,Profitable,Low,East
CA-2023-115238,1/21/2023,1/24/2023,Jane Waco,Corporate,Furniture,Furnishings,"DAX Two-Tone Rosewood/Black Document Frame, Desktop, 5 x 7",9.48,1,3.79,23-Jan,40.00%,Profitable,Low,East
CA-2023-115238,1/21/2023,1/24/2023,Jane Waco,Corporate,Furniture,Furnishings,"Eldon 200 Class Desk Accessories, Burgundy",31.4,5,13.19,23-Jan,42.00%,Profitable,Low,East
CA-2023-115238,1/21/2023,1/24/2023,Jane Waco,Corporate,Office Supplies,Paper,Weyerhaeuser First Choice Laser/Copy Paper (20Lb. and 88 Bright),6.48,1,3.11,23-Jan,48.00%,Profitable,Low,East
CA-2023-115238,1/21/2023,1/24/2023,Jane Waco,Corporate,Technology,Phones,"iKross Bluetooth Portable Keyboard + Cell Phone Stand Holder + Brush for Apple iPhone 5S 5C 5, 4S 4",209.5,10,58.66,23-Jan,28.00%,Profitable,Medium,East
US-2023-146997,1/23/2023,1/27/2023,Speros Goranitis,Consumer,Office Supplies,Fasteners,"Alliance Big Bands Rubber Bands, 12/Pack",5.94,3,0,23-Jan,0.00%,Loss,Low,Central
US-2023-102645,1/23/2023,1/28/2023,Ionia McGrath,Consumer,Office Supplies,Paper,Xerox 195,40.08,6,19.24,23-Jan,48.00%,Profitable,Low,West
US-2023-167997,1/26/2023,1/29/2023,Carol Adams,Corporate,Furniture,Bookcases,"Safco Value Mate Series Steel Bookcases, Baked Enamel Finish on Steel, Gray",141.96,2,39.75,23-Jan,28.00%,Profitable,Medium,Central
US-2023-155502,1/26/2023,1/31/2023,Shirley Daniels,Home Office,Furniture,Furnishings,Eldon Image Series Black Desk Accessories,12.42,3,4.47,23-Jan,36.00%,Profitable,Low,South
US-2023-155502,1/26/2023,1/31/2023,Shirley Daniels,Home Office,Furniture,Furnishings,"GE General Use Halogen Bulbs, 100 Watts, 1 Bulb per Pack",62.82,3,30.78,23-Jan,49.00%,Profitable,Low,South
US-2023-167997,1/26/2023,1/29/2023,Carol Adams,Corporate,Office Supplies,Binders,Wilson Jones 14 Line Acrylic Coated Pressboard Data Binders,10.68,2,5.02,23-Jan,47.00%,Profitable,Low,Central
US-2023-155502,1/26/2023,1/31/2023,Shirley Daniels,Home Office,Office Supplies,Paper,"REDIFORM Incoming/Outgoing Call Register, 11"" X 8 1/2"", 100 Messages",16.68,2,8.34,23-Jan,50.00%,Profitable,Low,South
US-2023-155502,1/26/2023,1/31/2023,Shirley Daniels,Home Office,Office Supplies,Paper,"Eureka Recycled Copy Paper 8 1/2"" x 11"", Ream",19.44,3,9.33,23-Jan,48.00%,Profitable,Low,South
US-2023-155502,1/26/2023,1/31/2023,Shirley Daniels,Home Office,Office Supplies,Storage,"SAFCO Commercial Wire Shelving, 72h",489.92,8,0,23-Jan,0.00%,Loss,Medium,South
US-2023-155502,1/26/2023,1/31/2023,Shirley Daniels,Home Office,Technology,Phones,Jabra SPEAK 410,187.98,2,52.63,23-Jan,28.00%,Profitable,Medium,South
US-2023-155502,1/26/2023,1/31/2023,Shirley Daniels,Home Office,Technology,Phones,Macally Suction Cup Mount,155.35,13,0,23-Jan,0.00%,Loss,Medium,South
US-2023-117163,1/27/2023,2/2/2023,Ed Jacobs,Consumer,Furniture,Tables,Balt Split Level Computer Training Table,333,3,-16.65,23-Jan,-5.00%,Loss,Medium,West
US-2023-117163,1/27/2023,2/2/2023,Ed Jacobs,Consumer,Office Supplies,Art,Dixon Ticonderoga Core-Lock Colored Pencils,36.44,4,12.03,23-Jan,33.00%,Profitable,Low,West
US-2023-117163,1/27/2023,2/2/2023,Ed Jacobs,Consumer,Office Supplies,Storage,Recycled Steel Personal File for Hanging File Folders,57.23,1,14.31,23-Jan,25.00%,Profitable,Low,West
US-2023-100328,1/28/2023,2/3/2023,Jasper Cacioppo,Consumer,Office Supplies,Binders,"Pressboard Covers with Storage Hooks, 9 1/2"" x 11"", Light Blue",3.93,1,1.33,23-Jan,33.80%,Profitable,Low,East
US-2023-134103,1/30/2023,2/4/2023,Mike Vittorini,Consumer,Office Supplies,Paper,Xerox 1972,10.56,2,4.75,23-Jan,45.00%,Profitable,Low,Central
US-2023-134103,1/30/2023,2/4/2023,Mike Vittorini,Consumer,Office Supplies,Storage,Space Solutions HD Industrial Steel Shelving.,229.94,2,6.9,23-Jan,3.00%,Profitable,Medium,Central
US-2023-115161,1/31/2023,2/2/2023,Liz Carlisle,Consumer,Furniture,Bookcases,"Sauder Facets Collection Library, Sky Alder Finish",290.67,2,3.42,23-Jan,1.20%,Profitable,Medium,West
US-2023-140795,2/1/2023,2/3/2023,Bradley Drucker,Consumer,Technology,Accessories,Enermax Aurora Lite Keyboard,468.9,6,206.32,23-Feb,44.00%,Profitable,Medium,Central
US-2023-123400,2/2/2023,2/9/2023,Eric Barreto,Consumer,Office Supplies,Binders,Surelock Post Binders,18.34,2,-12.22,23-Feb,-66.70%,Loss,Low,South
US-2023-139857,2/2/2023,2/6/2023,Cynthia Delaney,Home Office,Office Supplies,Fasteners,Staples,12.35,5,5.8,23-Feb,47.00%,Profitable,Low,West
US-2023-123400,2/2/2023,2/9/2023,Eric Barreto,Consumer,Technology,Phones,AT&T 17929 Lendline Telephone,180.96,5,13.57,23-Feb,7.50%,Profitable,Medium,South
US-2023-111059,2/3/2023,2/6/2023,Tom Boeckenhauer,Consumer,Office Supplies,Binders,Avery Durable Poly Binders,13.27,3,4.31,23-Feb,32.50%,Profitable,Low,West
US-2023-111059,2/3/2023,2/6/2023,Tom Boeckenhauer,Consumer,Office Supplies,Binders,Ibico Laser Imprintable Binding System Covers,83.84,2,27.25,23-Feb,32.50%,Profitable,Low,West
US-2023-104808,2/4/2023,2/8/2023,Mark Haberlin,Corporate,Office Supplies,Binders,"GBC Standard Recycled Report Covers, Clear Plastic Sheets",17.25,2,6.04,23-Feb,35.00%,Profitable,Low,West
US-2023-107181,2/4/2023,2/8/2023,Deborah Brumfield,Home Office,Office Supplies,Binders,GBC Recycled Grain Textured Covers,82.9,3,29.01,23-Feb,35.00%,Profitable,Low,West
US-2023-107181,2/4/2023,2/8/2023,Deborah Brumfield,Home Office,Office Supplies,Paper,"Message Book, Standard Line ""While You Were Out"", 5 1/2"" X 4"", 200 Sets/Book",34.24,4,16.09,23-Feb,47.00%,Profitable,Low,West
US-2023-108182,2/6/2023,2/10/2023,Delfina Latchford,Consumer,Office Supplies,Binders,"Avery Flip-Chart Easel Binder, Black",8.95,2,-14.77,23-Feb,-165.00%,Loss,Low,Central
US-2023-131905,2/6/2023,2/9/2023,Neil Ducich,Corporate,Office Supplies,Labels,Avery 480,15,4,7.2,23-Feb,48.00%,Profitable,Low,South
US-2023-131905,2/6/2023,2/9/2023,Neil Ducich,Corporate,Technology,Phones,AT&T CL82213,144.95,5,42.04,23-Feb,29.00%,Profitable,Medium,South
US-2023-131905,2/6/2023,2/9/2023,Neil Ducich,Corporate,Technology,Phones,Aastra 57i VoIP phone,161.61,1,42.02,23-Feb,26.00%,Profitable,Medium,South
US-2023-169390,2/7/2023,2/10/2023,Chris Selesnick,Corporate,Office Supplies,Storage,Acco Perma 4000 Stacking Storage Drawers,64.96,4,9.74,23-Feb,15.00%,Profitable,Low,East
US-2023-107755,2/7/2023,2/12/2023,Cyma Kinney,Corporate,Technology,Accessories,Maxell DVD-RAM Discs,115.36,7,49.6,23-Feb,43.00%,Profitable,Medium,East
US-2023-125759,2/8/2023,2/9/2023,Nathan Mautz,Home Office,Furniture,Furnishings,"Master Caster Door Stop, Large Brown",14.56,2,5.53,23-Feb,38.00%,Profitable,Low,West
US-2023-168368,2/11/2023,2/15/2023,Guy Armstrong,Consumer,Furniture,Chairs,"Global Value Mid-Back Manager's Chair, Gray",60.89,1,15.22,23-Feb,25.00%,Profitable,Low,Central
US-2023-168368,2/11/2023,2/15/2023,Guy Armstrong,Consumer,Furniture,Furnishings,"Rubbermaid ClusterMat Chairmats, Mat Size- 66"" x 60"", Lip 20"" x 11"" -90 Degree Angle",332.94,3,53.27,23-Feb,16.00%,Profitable,Medium,Central
US-2023-127614,2/11/2023,2/15/2023,Natalie Fritzler,Consumer,Furniture,Tables,Hon 2111 Invitation Series Corner Table,1256.22,6,75.37,23-Feb,6.00%,Profitable,High,South
US-2023-127614,2/11/2023,2/15/2023,Natalie Fritzler,Consumer,Office Supplies,Binders,Wilson Jones Leather-Like Binders with DublLock Round Rings,17.46,2,8.21,23-Feb,47.00%,Profitable,Low,South
US-2023-168368,2/11/2023,2/15/2023,Guy Armstrong,Consumer,Office Supplies,Binders,VariCap6 Expandable Binder,51.9,3,24.39,23-Feb,47.00%,Profitable,Low,Central
US-2023-168368,2/11/2023,2/15/2023,Guy Armstrong,Consumer,Office Supplies,Binders,Wilson Jones Turn Tabs Binder Tool for Ring Binders,9.64,2,4.43,23-Feb,46.00%,Profitable,Low,Central
US-2023-168368,2/11/2023,2/15/2023,Guy Armstrong,Consumer,Office Supplies,Labels,Avery 483,14.94,3,6.87,23-Feb,46.00%,Profitable,Low,Central
US-2023-168368,2/11/2023,2/15/2023,Guy Armstrong,Consumer,Office Supplies,Storage,Fellowes Neat Ideas Storage Cubes,64.96,2,2.6,23-Feb,4.00%,Profitable,Low,Central
US-2023-127614,2/11/2023,2/15/2023,Natalie Fritzler,Consumer,Technology,Accessories,Enermax Aurora Lite Keyboard,234.45,3,103.16,23-Feb,44.00%,Profitable,Medium,South
US-2023-110674,2/12/2023,2/18/2023,Sanjit Chand,Consumer,Furniture,Chairs,"Global Geo Office Task Chair, Gray",129.57,2,-24.29,23-Feb,-18.80%,Loss,Medium,West
US-2023-121762,2/14/2023,2/18/2023,Marina Lichtenstein,Corporate,Office Supplies,Appliances,Belkin 8 Outlet Surge Protector,81.96,2,22.95,23-Feb,28.00%,Profitable,Low,West
US-2023-107706,2/14/2023,2/19/2023,Shui Tom,Consumer,Office Supplies,Paper,"Memo Book, 100 Message Capacity, 5 3/8” x 11”",16.18,3,6.07,23-Feb,37.50%,Profitable,Low,Central
US-2023-121762,2/14/2023,2/18/2023,Marina Lichtenstein,Corporate,Office Supplies,Supplies,Compact Automatic Electric Letter Opener,238.62,2,4.77,23-Feb,2.00%,Profitable,Medium,West
US-2023-121762,2/14/2023,2/18/2023,Marina Lichtenstein,Corporate,Technology,Accessories,Logitech G600 MMO Gaming Mouse,239.97,3,86.39,23-Feb,36.00%,Profitable,Medium,West
US-2023-165568,2/15/2023,2/19/2023,Barry Französisch,Corporate,Office Supplies,Binders,Pressboard Data Binders by Wilson Jones,21.36,5,7.21,23-Feb,33.80%,Profitable,Low,West
US-2023-122567,2/16/2023,2/21/2023,Michael Nguyen,Consumer,Office Supplies,Appliances,"Holmes Cool Mist Humidifier for the Whole House with 8-Gallon Output per Day, Extended Life Filter",7.96,2,-13.93,23-Feb,-175.00%,Loss,Low,Central
US-2023-122567,2/16/2023,2/21/2023,Michael Nguyen,Consumer,Office Supplies,Binders,Wilson Jones Easy Flow II Sheet Lifters,1.08,3,-1.73,23-Feb,-160.00%,Loss,Low,Central
US-2023-154165,2/17/2023,2/24/2023,Delfina Latchford,Consumer,Office Supplies,Art,Staples in misc. colors,54.21,14,8.81,23-Feb,16.30%,Profitable,Low,Central
US-2023-165589,2/18/2023,2/18/2023,Troy Blackwell,Consumer,Furniture,Furnishings,"DAX Copper Panel Document Frame, 5 x 7 Size",25.16,5,-11.32,23-Feb,-45.00%,Loss,Low,Central
US-2023-152905,2/18/2023,2/24/2023,Aaron Bergman,Consumer,Office Supplies,Storage,Akro Stacking Bins,12.62,2,-2.52,23-Feb,-20.00%,Loss,Low,Central
US-2023-109491,2/20/2023,2/26/2023,Linda Cazamias,Corporate,Furniture,Furnishings,"Master Caster Door Stop, Brown",20.32,4,6.91,23-Feb,34.00%,Profitable,Low,Central
US-2023-164903,2/20/2023,2/24/2023,Steven Roelle,Home Office,Office Supplies,Paper,Xerox 204,12.96,2,6.22,23-Feb,48.00%,Profitable,Low,West
US-2023-109491,2/20/2023,2/26/2023,Linda Cazamias,Corporate,Technology,Accessories,Enermax Briskie RF Wireless Keyboard and Mouse Combo,62.31,3,22.43,23-Feb,36.00%,Profitable,Low,Central
US-2023-165540,2/21/2023,2/25/2023,Tamara Manning,Consumer,Office Supplies,Binders,GBC Standard Plastic Binding Systems Combs,8.85,5,-13.72,23-Feb,-155.00%,Loss,Low,Central
US-2023-133354,2/22/2023,2/24/2023,Sue Ann Reed,Consumer,Office Supplies,Paper,Xerox 220,19.44,3,9.33,23-Feb,48.00%,Profitable,Low,West
US-2023-103744,2/23/2023,2/27/2023,Michael Grace,Home Office,Office Supplies,Binders,GBC Plastic Binding Combs,4.43,3,-6.86,23-Feb,-155.00%,Loss,Low,Central
US-2023-103744,2/23/2023,2/27/2023,Michael Grace,Home Office,Office Supplies,Labels,Staple-on labels,6.94,3,2.34,23-Feb,33.80%,Profitable,Low,Central
US-2023-137680,2/24/2023,3/2/2023,Jennifer Halladay,Consumer,Office Supplies,Paper,"TOPS 4 x 6 Fluorescent Color Memo Sheets, 500 Sheets per Pack",22.78,3,7.69,23-Feb,33.80%,Profitable,Low,West
US-2023-137680,2/24/2023,3/2/2023,Jennifer Halladay,Consumer,Office Supplies,Paper,"Message Book, Wirebound, Four 5 1/2"" X 4"" Forms/Pg., 200 Dupl. Sets/Book",32.9,4,11.1,23-Feb,33.80%,Profitable,Low,West
US-2023-156545,2/27/2023,3/3/2023,Joy Smith,Consumer,Office Supplies,Art,Zebra Zazzle Fluorescent Highlighters,19.46,4,3.4,23-Feb,17.50%,Profitable,Low,East
US-2023-113880,3/1/2023,3/5/2023,Vicky Freymann,Home Office,Furniture,Chairs,Novimex Swivel Fabric Task Chair,634.12,6,-172.12,23-Mar,-27.10%,Loss,High,Central
US-2023-131009,3/1/2023,3/5/2023,Shahid Collister,Consumer,Furniture,Chairs,Harbour Creations Steel Folding Chair,362.25,6,0,23-Mar,0.00%,Loss,Medium,Central
US-2023-104269,3/1/2023,3/6/2023,Dave Brooks,Consumer,Furniture,Chairs,Global Deluxe High-Back Manager's Chair,457.57,2,51.48,23-Mar,11.30%,Profitable,Medium,West
US-2023-131009,3/1/2023,3/5/2023,Shahid Collister,Consumer,Furniture,Furnishings,DAX Black Cherry Wood-Tone Poster Frame,63.55,6,-34.95,23-Mar,-55.00%,Loss,Low,Central
US-2023-168312,3/1/2023,3/7/2023,Giulietta Weimer,Consumer,Furniture,Tables,Bevis Round Conference Room Tables and Bases,376.51,3,-43.03,23-Mar,-11.40%,Loss,Medium,Central
US-2023-131009,3/1/2023,3/5/2023,Shahid Collister,Consumer,Office Supplies,Fasteners,Plymouth Boxed Rubber Bands by Plymouth,18.84,5,-3.53,23-Mar,-18.80%,Loss,Low,Central
US-2023-113880,3/1/2023,3/5/2023,Vicky Freymann,Home Office,Office Supplies,Paper,"Black Print Carbonless 8 1/2"" x 8 1/4"" Rapid Memo Book",17.47,3,5.68,23-Mar,32.50%,Profitable,Low,Central
US-2023-131009,3/1/2023,3/5/2023,Shahid Collister,Consumer,Office Supplies,Storage,Fellowes Bankers Box Recycled Super Stor/Drawer,129.55,3,-22.67,23-Mar,-17.50%,Loss,Medium,Central
